string_value,Category
The information I sent to the Hypercare channel was not added to the ticket when created.  The ticket was not worked and there are no comments asking for information.  Service is extremely poor.,no_resolution
"It was closed and listed as ""resolved"" but it is not.  The report in question still does not have ""Specialty"" added.",no_resolution
"Messages within a ServiceNOW ticket is unjustifiable! You need to CALL the person and guide them. This particular HRSC system is completely incomprehensible to most users. Again, you need to CALL people.",no_resolution
Issue never resolved and ticket closed. No further information relayed to me about status.,no_resolution
"My issue is not resolved and keep receiving email saying the email is resolved. contacted IT two times until now. Need a third call and don't know how many more calls needed. Every time, a new incident number is created and then a email is sent saying the issue is resolved.",no_resolution
Was a simple fix that a business analyst was able to figure out in minutes and i waited 24 hours from when ticket was opened with no resolution,no_resolution
"I asked for assistance to help add users to an email org account. But I was given a link to search for another group that may or may not remotely related to my request. The link is https://kp.service-now.com/sp?id=sc_cat_item&sys_id=b7409ba5dbe70f4003129c94db9619d8. This direct service request link assumes I know exactly what support I need to submit the ticket to. The search function is not helpful to me to find the correct support group. The support technician didn't provide specific instruction to guide me through the service request page either. Just left me hanging, expect me to figure it out. I guess there's no need for a helpdesk if I can figure it out on my own.",no_resolution
"Hi, My printer inkjet needs to be replaced. Nothing has been done and an email with ""resolved"" sent to me.",no_resolution
"unfortunately the issue persisted i had to call back to open a new ticket inc 10606579, hopefully we get it resolved today, this was originally reported 02/19",no_resolution
Nothing has been fixed.  No ne has even come,no_resolution
I don't understand why this survey was issued when my PC problem has NOT been resolved. Level 2 support has NOT done anything.  No call or in person appearance.  NOTHING HAS BEEN DONE.,no_resolution
"No support, no warning. Still not fully restored",no_resolution
issue wasn't quite clarified or resolved but very much appreciate the time and in looking into it.  Heather was very good at communicating updates.,no_resolution
Issue no t resolved,no_resolution
I received an email asking to come to Woodlawn the next day. I replied that I was not available that day and told him of dates I would be available at Woodlawn. I received no response. My issue has not been resolved. The Service now states I did not respond and that is not true.,no_resolution
The issue was not resolved on this call.,no_resolution
The issue with the printer is not fixed.,no_resolution
"it worked while the tech was on the line with me. once I tried to get on Teams, I got bummed out again. have been unable to log in all day today. can't get any work done.",no_resolution
My issue still hasn't been resolved.  Ticket opened up on Monday and it's Thursday and I still don't have access to my printer.  This is bad service from the IT team.  Lawrence Ho was supposed to reach out to my lead to access my desk so my printer can be reconnected and never did it.  So I'm definitely not satisfied AT ALL!,no_resolution
I'm still having the same issues,no_resolution
My concern has not yet been resolved. However I am very pleased with how  quick a response I received from my online inquiry via the chat option.,no_resolution
Ticket was completed but not resolved. I am stuck with the issue and I don't know what to do or who else to ask.,no_resolution
"I did not submit the request, the coordinator did. 
Issue has not been resolved.",no_resolution
"I waited on hold for 90 minutes only to be told that it was a large issue and he couldn't do anything to help me get logged into the system. I was to simply keep trying to sign on. Eventually it should be resolved. All day it was not. I called back but gave up after waiting for 60 minutes. This kept me from doing my job for more that 12 hours. And how can the ticket be ""resolved"" 4 minutes after I talked to the representative. Very displeasing experience.",no_resolution
issue was not resolved. Thank you,no_resolution
Tech initiated updates.  computer resumed same blue screen and inability to use PC.  Obviously not a good outcome,no_resolution
tech tried hard but issue was not solved. hardware issue. nothing he could have done,no_resolution
"What a major disappointment.  

I expect to hear back from a manager about this.  

The Service Desk hung up on me then sends me an email telling me that my issue is resolved (it is not resolved)?",no_resolution
Unable to help and still having the same issue.,no_resolution
"Since this issue is not technically resolved I answered NA on the first 2 questions. As for my satisfaction of the support that I received from Janet, I would have to say it was a ""10"". 
Thank you!",no_resolution
"I document that the item has been red tagged and where it has been placed- and yet I still will get a response asking me to do it. Also- when I get this response that shows that my message was clearly not read- If I happen to be on days off (24 hour employee) my ticket will be closed because I didn't ""respond"" in time. Frustrating and a waste of time.",no_resolution
Issue not resolved please reopen ticket and see notes and attachment,no_resolution
"The issue is not resolved, but I have multiple e-mails that it is being worked on.",no_resolution
"I requested that Service desk support place a request for data from the HealthConnect team. He took over my computer and I was under the impression that he placed the request. The incident resolution email says I only asked for ""User Education Training,"" which is not correct. I needed the data, not training.",no_resolution
"Issue was not resolved, service ticket will be submitted. Appreciate the time the IT rendered at a timely manner.",no_resolution
issue not resolved,no_resolution
the issue was never resolved,no_resolution
I spent 4 hours on hold yesterday trying to fix the multiple issues on phone and PC. The person was short and didn't fix my issues. Using the self service portal and virtual support was completely different. The person helped me fix everything and took his time. I will always go through this route in the future. Thank you so much!,no_resolution
"This issue was not resolved. Instead up reimaging the computer to mirror the trackboard in the main wing they took the power cord to the computer, and did nothing to it. Thanks",no_resolution
we received a message that the issue was resolved but it is still not working,no_resolution
"Very prompt in responding, but the issue is not resolved, I still cannot open Mainframe",no_resolution
"Don't have anything against the support I received from Antarius, he was polite and tried to help me however, and almost exactly 1 hour after initiating the chat, I was informed that my issue would be resolved in 4 hours and it still hasn't been resolved to this point; ) This how the discussion ended before exchanging pleasantries: Agent Antarius said
Per Senior/ Adv. support group... This should resolve the issue. And again, I don't think this is due to the Agent's fault. Thanks!",no_resolution
"Technician stated that I should be using A Handoff, I have tried everything in the Handoff and problem still not resolved.",no_resolution
My situation is still not resolved.,no_resolution
The issue has not been solved. The comments to export to a different format are not applicable.,no_resolution
"Hi, I appreciated that you responded in a timely manner; however, the issue was not resolved, and it occurred ever since that it started on the Tuesday, 2/24 at around 2:30 pm.  Thank you",no_resolution
"They still haven't solved my problem. I don't have access to KP health connect and this is my first day on bedside orientation, I'm shadowing a nurse. I start working on my own on Sunday 02/28/21 and still no access. I even called the national hotline. I've worked at Kaiser Northern CA, Clackamas OR and I haven't had this issue. Most hospitals I've worked at, they give me computer access my first day on clinical orientation without having to even call anyone. 

This is a safety issue. I hope I get access before Sunday.",no_resolution
My issue not resolved.  It doesn't fit into any single bucket.  I've been disconnected from service desk.  The chat bot disconnected me twice.  I cannot access HR Connect.  My iPhone cannot access iKaiser.  I've already changed my network password.  Same problems.,no_resolution
"IT was not able to help directly, but they had me reach out to supervisor to help. Who stated that IT is still working on it?",no_resolution
this is NOT resolved - they are saying because I caught and fixed the 12 am system generated in punch - that there is nothing wrong - WRONG I was adding time off on a timecard with a missed punch and it auto populated the 12am punch - so staff's work day went from 5.28 hours to 21.80 hours - this is a system glitch and needs to be fixed - I HAD to fix it as we cannot pay they 21.8 hours when they only worked 8.  This is happening over and over again where tickets are just closed and nothing has been done - we are not 3 months into this and the SAME issues are still there - unresolved - but all the tickets are closed as resolved.  Please reopen,no_resolution
"The service team flagged a bug in the program. No bug reporting was reported, nor was a change request reported. There was an error with my account, but the website gave no error  message. This is a particularly egregious software error, and cost several people several hours of work. 

I AM UNSATISFIED BECAUSE THERE WAS NO INDICATION OF ANY ACTION TO BE TAKEN TO SOLVE THE BUG. I have usually rated my experiences very high. I feel bad about rating this one so low, but the result was very dissatisfying to me.",no_resolution
Issue not resolved.,no_resolution
"My inquiry was regarding Chrome being installed on my computer which apparently is already on it. My issue falls with the remark of "".  If you have difficulty locating Chrome on your computer, please lets us know and we will open a request to local IT to assist you."" I would not have sent the inquiry if I could find it so this is not helpful at all. Not only can I not find it but the program MY HR can not access it.  So essentially this inquiry was a waste of time.",no_resolution
"One issue was fixed, my inability to get into Teams was discussed and another issue was not important so a ticket was opened but my Teams was not fixed. I still cannot get in and I'm on hold for the helpdesk again and I have meetings that start in 30 min.",no_resolution
The ticket says its resolved yet we are still missing a computer here,no_resolution
slowness issue has not been resolved and is affecting patient care,no_resolution
"The representative did NOT resolve my issue. In fact, due to her advice, I was locked out of SSO, and was not able to log into any systems, including Kaiser wifi.  VERY dissatisfied with her. She mad matters worse",no_resolution
The ticket was close with OUT SOLVING THE PROBLEM. THE PHONE STILL DOES NOT WORK.,no_resolution
"he (John) was in a hurry, the issue was not resolved, I still couldn't access",no_resolution
"I reported this issue on Friday.  It's Monday already.  The ticket said it was resolved but it's not.
My co worker is calling Help desk again to try and resolve it.    INC10641597",no_resolution
My question wasn't answered yet the ticket was resolved. I'm also never really sure which option I'm supposed to pick when I'm filling out these tickets. I feel it could be clearer.,no_resolution
unable to resolve problem placed ticket,no_resolution
It still doesn't work,no_resolution
I just wanted to be clear that I feel Tony Foster did a very good job trying to help me with my issue. I documented a 0 for the resolution because in my eyes the issue has not been resolved and won't be resolved until I receive the cell phone.,no_resolution
Problem not solved,no_resolution
my problem has NOT been solves.  i called again today and Rashanda help me and i still cannot open my mainframe.  there is something wrong with  the system and does not let me to log in.,no_resolution
No reached out to me in regards to this ticket I am still unable to retrieve emails from my work tablet.,no_resolution
This issue is not resolved.  No one answered my question.  Disappointed as I need to know why this keeps happening.,no_resolution
my issue was not resolved and the ticket was closed.,no_resolution
This ticket is closed and the issue hasn't been resolved.,no_resolution
Printer issue not resolved yet,no_resolution
My issue is not resolved yet Darlene is ready to close the ticket. The original issue is that I don't have the permission on my profile in OneLink to use the business unit 0315. No one cares about that and I still cannot do my work.,no_resolution
Like always when you put a ticket in  get an email that its been resolved and its not. Now to spend 2 hours on the phone trying to get a hold of someone,no_resolution
"The ticket was marked resolved without correcting the problem. I have opened another ticket to try again. Terrell was very helpful at the service desk, but there has been no resolution.",no_resolution
"Please note, I do not fault the tech, but honest answer is no, they were not able to solve. Despite a message on VMWARE site (http://cs.cloud.kp.org) stating I must order C2C via SNOW, the SNOW FAILED twice and I had to solve this by ignoring the http://cs.cloud.kp.org message, and then ordering via cloud portal anyway. Only then did provisioning not fail. This whole thing cost me more than 3 weeks to sort out as I continued to try to use the correct process of ordering through  SNOW, only to have it fail and only when I ignored process and used http://cs.cloud.kp.org did the provisioning work. The project I am on carried heavy fines to KP if we do not go live on time and this move from portal to SNOW failure cost us very dear time.",no_resolution
My issue is not resolved and they closed the ticket,no_resolution
"Issue is not resolved. Support called last week to see if I was in office to add printer, advised I was not and would be the next day.   never received follow up call or site visit.",no_resolution
"my problem was not fixed,",no_resolution
It's a little confusing trying to find what you are looking for.  I've used the portal before so I knew where to look but it wasn't so intuitive the first time.,no_resolution
"No one I spoke to was able to help resolve the discrepancy for this requisition.  The staff following the ticket also clearly did not read the prior notes as my position was for a LCSW, not a unit manager and prematurely closed the ticket. The only communication was through email for a status update on the ticket. I am available by phone and teams.",no_resolution
It agent took AM number down wrong even after giving it to him twice. This caused the ticket to be closed due to the wrong information.,no_resolution
Issue not resolved,no_resolution
the issue was not resolved I try calling again and wait time is too long,no_resolution
issue was Not resolved.,no_resolution
IT'S NOT FIXED.  SOMEONE CLOSED IT WITHOUT REACHING OUT TO ME.,no_resolution
The ticket says it is resolved but it is not. The reset for my password is the same as my old password and is still not working on my Cortext on the computer.,no_resolution
"the email i received says my issue was resolved using a spare cord i had at home.... quite a trick, as i live 20 miles away and have a 30 minute lunch.  issue is NOT resolved and i called at 715 this morning.  i reallllllly would love to have my computer for a patient facing day tomorrow.",no_resolution
Issue not resolved,no_resolution
"This has been an incredibly frustrating experience! It has taken over 1.5 months to get to where we are today. I received update that issue was resolved, and it is still not!!! I couldn't check the status of the INC and submit my own notes on the self service portal. Luckily I had assistance from BethAnne Johnston. BUt overall this has been a terrible process. I am hoping for prompt resolution at this point but I am not even sure where to go from here.",no_resolution
IT tech was able to relay what mngr should do to resolve and was not willing to do it from their end even though he said it only would take IT 5 seconds to complete and will take the mngr over 30 minutes to do.  He was not willing to do it this time.,no_resolution
when the technician comes out the issue is never resolved it seems I am asked to put another ticket in. This has occurred multiple times with the same technician.,no_resolution
"The issue is still not resolved by the way and although it sounded like I received the answer after multiple folks, it should not have taken going through all those people",no_resolution
issue has not been resolved.,no_resolution
The issue has not been resolved yet. They are looking into it.,no_resolution
never resolved. i still currently have the issue. this was closed without my approval,no_resolution
"even though not resolved, reassuring to hear it wasn't going to affect performance",no_resolution
It was not resolved. Nor was I contacted,no_resolution
"Not resolved. Still cannot see the majority of what is in the mailboxes. Setting@ 3 days of emails, instead of 12 months like other colleagues. 

In addition:
Thomas was rude, changed my settings to 100% because he 'didnt know how i could see' (I have visual issues and have my display set to 150%). He did not change my settings back when I told him I have a visual disability that requires me to enlarge to 150% to see).",no_resolution
"No resolution, got the run around , no one could help get dial pad that I once had.? IT needs serious help with experienced technicians....",no_resolution
Issue not resolved. Putting a new ticket for same issue,no_resolution
Problem has not been resolved. Still cannot use card reader on this computer. Will put another ticket in.,no_resolution
They still have NOT replaced the printer toner and have not responded to requests to come and change it out. This issue has NOT been resolved yet. Appreciate it if you could help.,no_resolution
No one ever came by to resolved this issue.,no_resolution
"the contact phone number was wrong and I provided the correct number and stated I have no other phone number. as far as resolving the issue, I am not sure the issue is resolved. I have a new password, but the account is not showing up under password reset. 706 207 9151 laura.m.riss@kp.org",no_resolution
"NOT CONTACTED PERSONALLY
DON'T KNOW WHAT WAS DONE
POOR SERVICE",no_resolution
"My issue is not resolved, nor was I given an adequate answer to how to fix the problem.  This system is so incredibly convoluted and we were give ZEROI training.",no_resolution
"Ridiculous service. Too many numbers, INC.. REQ... RITM... everyone telling me to complete a TRO form and not getting any resolution, but receiving emails that my issue is resolved. Phone call, chat, email its so easy for IT to hide and not resolve a thing. Terrible service...",no_resolution
My issue was not resolved.,no_resolution
"The level 1 staff Thil cost me 30 mins on the phone, solve nothing. The level 2 staff Mark cost me 55 mins to be on the phone with him, solve nothing. I only had 2 issues need to be fix: sticky note and task bar. He didn't know how to fix it and just keep saying you just have too many issues. What is ""too many""?? It's just 2. Why he keep repeating I have ""too many issues""? The problem is Mark doesn't know how to fix it. It's fine, why he keep trying to put his problem to the person who request for help desk?? He didn't even offer me to send someone to come to my computer to check it out. It was just me request someone to come here physically to check it. Then Jason came, problem solved within 3 mins. Mark is definitely not helpful and doesn't even know to offer clients higher level support. It was very difficult for me to wait for him over the phone because I have pts keep coming to clinic and I need to room them. Mark should have asked for help earlier and not keep me on the phone for 50 mins since he doesn't know how to fix it.",no_resolution
"Sorry I am not satisfied, My problem did not get resolved.",no_resolution
Issue has not been resolved.,no_resolution
Issue still happening. Not resolved.,no_resolution
Issue has still not been resolved although I received an email stating it was. I sent another email and no response.,no_resolution
"I don't feel this problem was addressed at all.  I don't think the Level 2 person understood what the issue was.  I got a link of how to change ring tones on my soft phone.  That was NOT the issue.  The issue is AT TIMES the ring tone is not there.  Sometimes shutting down the apps will fix the issue, other times I have to shut down and start the computer over.  I was contacted with the link to changing the ringtones over Teams.  When I responded back asking about shutting down the apps or computer in the future I got NO response back.  The Level 2 person just seemed very condescending about this issue.  Which I have had happen before when I am contacted by Level 2 people.  I feel like they are just talking down to me.",no_resolution
"The issue is not resolved, I have no printer ink and unable to do my job.",no_resolution
"My issue has not been resolved in the least.  on 3-3-21.  in rm 6 patient had surgery and  is not on my snapboard in the HealthConnect system.  Patient name is Vazquez, Julio MRN 17274354.",no_resolution
issue still not resolved. Poor follow up by staff,no_resolution
"My issue was not resolved, was told to call the KPWA service desk.",no_resolution
"This is an absolute fail. This is the second ticket for the same issue.  Both times, the problem was not corrected, and the ticket was closed without my consent.  I really don't want to have to open a third ticket.",no_resolution
Wait time on the phone was 25 min and problem still not resolved,no_resolution
"unable to resolve the issue. Service rep who took the information was great.But the IT who came in did not complete the task,am sorry",no_resolution
No resolution.  Had to hand write the appointments for Mom and Dad.,no_resolution
I have placed 4 tickets for same issue and it is still not resolved. this is affecting patient care,no_resolution
"Despite two calls, still have the same issue. Techs are very friendly, but no one has solved the problem, for which a number of us in the Anesthesia Department are awaiting the solution. How to access our OR schedule for the next day from home via Haiku and PingID!? We used to be able to, now after a number of 'upgrades,' no can do!",no_resolution
"Issue was not resolved, but the technician was helpful in his approach",no_resolution
"This issue was not resolved. We had a meeting scheduled, and I've been sitting here expecting to be called about the issue. Instead I got an email telling me that it has been closed. The instructions are not clear on what we are supposed to do to receive the help.",no_resolution
"Ticket was closed and I still do not have access.  Still awaiting approvals for access, so I need to see progress before I can give an honest assessment.",no_resolution
The issue is not resolved. The technician said to only print one sided documents but we want to print two sided. That's not solving the problem. The technician was very nice otherwise.,no_resolution
Still do not have a new computer or link to get one.  But everyone was very nice.,no_resolution
"The event is not resolved and the notes attributed to me by the service rep are fraudulent. At no point did I say anything about jamming, dirty documents, or misalignment. I put very specific a very specific statement on the ticket and stated the same when I saw the tech there, these were not resolved.",no_resolution
"Still isn't resolved. I have been trying to get this fixed since February 16th and as of today, I still cannot see my team in HR Connect. I called multiple times and each time I would sit on hold- sometimes I would just have to hang up because after 3 hrs on hold I either had a meeting or it was time to go home for the day, sometimes I would get someone and they couldn't help me, sometimes I would be told that it will be escalated yet again, and other times I would be told that they would forward it on to someone who could help and they would call me. I am not sure how many people have touched this ticket at this point, but I feel like it should have been resolved.",no_resolution
"The response to resolve the issue I received when my ticket was closed doesn't provide me relevant information. The problem is still ongoing. I gave up calling in tickets. All the terminals in the pharmacy are restarted at start of business every day. I would've like to have steps on what they want me to do to ""resolve"" the issue (clear cache and restart citrix). We launch KPHC and ePIMS every morning.",no_resolution
the computer is still down,no_resolution
"No one called me to let me know they completed this or that they were even working on it. I just received 2 emails stating it has been completed, which is has not yet.
The printer has not yet been removed. Please remove MH_EIN_1 .
Thank you",no_resolution
"Directly after receiving the pay that was incorrect (missing pay) I took all the recommended actions. I then had to follow up with phone calls, e-mails and Teams messages to and from HR. Everything resulted in no action being taken to resolve the issue. Many times I would not get any response to the issue and after waiting an appropriate time I would contact HR back to find out that nothing had been done, and HR would ask me to start as if I was opening up this issue for the very first time. After 6 weeks I received a final decision that yes in fact I was missing time, but nothing was being done about it and if further assistance was needed I should contact my manager. After which my manager contacted HR and received the same responses that I had been given (they responded as if this was a brand new issue and start from the begining). This prompted my manager to escalate the issue since it had been 6 weeks of going back and forth. Only after 6 weeks, many of management having to get involved did I receive pay that was almost 2 months from the actual pay day I should have received it on.",no_resolution
COMPUTER IS STILL DOWN  THEY HAVE BEEN BACK MULTIPLE TIMES STATING ITS FIXED BUT COMPUTER GOES DOWN NEXT DAY TICKET WAS CLOSED STATING ITS FIXED BUT PROBLEM PERSIST,no_resolution
"i was disconnected from the chat with John , without resolution",no_resolution
"Issue required local IT support. Receive email stating issue resolved, however, issue was not addressed. This is a common occurrence when placing requests for local IT.",no_resolution
No one ever contacted me despite making the report,no_resolution
"My issue is not resolved.  I received a message to respond if the issue was still active, and I did that, but now just received this notice that the ticket has been closed due to no response.",no_resolution
"Didn't resolve issue. (I was surprised the email recap after my phone call was the the issue was resolved - it was not) . I made it clear when I submitted the ticket I had problems accessing the Kaiser HR app on my personal phone. After FINALLY reaching someone in IT dept  and troubleshooting, the IT person said they couldn't help with personal phones and to call HR. I talked with my manager about the IT troubleshooting issue on connecting with HR and the Ping ID - she said to not try HR. HR is up to a 3 hour wait. It took days + many attempts to speak with IT - I really think this system could be better",no_resolution
"I believe the technical support representative did all that she could.  She was competent, friendly, professional, and helpful.  However, I am still struggling to log into my phone and will need to reach out again.",no_resolution
"I received an email that states that my incident has been resolved.  It has not.  I was on the phone on Friday for 40 minutes trying to get the error messaged I was receiving resolved, passed off to a different team, different team contacted me on Monday, couldn't resolve it and was told they were passing me off again like a ""hot potato"". Now this morning receive a message that states that my ticket has been resolved however, I am still receiving the error messages every time every computer logging in to take care of patients.",no_resolution
This is my 2nd follow up on a request to reinstall Signage Studio that I placed 2/19.  Just told today the request was sent to the wrong place,no_resolution
I am still unable to activate my account or access KATS or CHATS,no_resolution
The ticket was marked resolved when the answer provided was not a solution. A pro license does not resolve the existing software issue I have. The software needs to be removed and then reinstalled from the store. I cannot do this myself.,no_resolution
"This issue is NOT RESOLVED - now I have to up the priority because it is a patient care issue that has only resolved itself because you took so long to address it that the visit was marked a NO SHOW, which is NOT the case.  Normally very happy with IT, but not this time.",no_resolution
"This service needs a lot of improvement.
1. I scheduled a call with the support center 3 times and didn't receive a call
2. There is no help available to report the problem
3. I couldn't retrieve the description of the problem I reported. ServiceNow description of the ticket is masked for the person who created the ticket which is unacceptable way to design the screen
4. I requested this ticket to be directed to the correct group instead the closed the ticket with a resolved status.
I am very dissapointed with the support",no_resolution
Issue still unresolved,no_resolution
issue is not resolved. the chrome that I installed is my own Google account.  the issue was not understood.  there was nothing done.,no_resolution
problem is not resolved,no_resolution
Took way too long to reach a technician.  Call dropped. Just a suggestion to have the technician ask for a callback phone number in case the line drops which it did so I now have to callback again as the problem was not resolved.,no_resolution
I know I did not get paid the hours I worked I had to call HR I spoke 4 or 5 people I get different answer from all of them no one can resolve my issue still but I spend my time speak them myself and my manager also tried approved the hours still did not get paid but never resolve its frustrating ! I do not even know the answer to my questions,no_resolution
"The issue isnt resolved. To be honest, the HR Connect implementation was very poor, with many issues. It is clear it wasnt properly tested, or real use cases understood. The hope is that a future fix will resolve it.",no_resolution
Problem was not completed resolved. Have to schedule time to replace defective unit.,no_resolution
"my issue was not resolved.  I was off from work yesterday when customer service was trying to reach me.  In addition, I am not at 432-3451.  that location is temporary closed.  help!",no_resolution
The issue is currently unresolved. When I attempted to follow up I got a canned response that did not match the issue.,no_resolution
"The tech support was not helpful, the problem is not resolved and no one could help me.",no_resolution
"Issue NOT resolved and ticket closed anyway; so, I called back to re-open ticket.  IT support was very helpful but stated problem is with phone device itself.   Issue affects patient care; I am unable to take and upload Haiku photos for specialist review.  Thanks for your ongoing assistance.",no_resolution
They stated that my issue was resolved but then i checked and it was not resolved.,no_resolution
Approval still pending so do not know if issues is fully resolved,no_resolution
"I did not get my answer. I am very resourceful and can always find a way to get answers to those i support, I am not sure why I could not get an answer.  Just told that it was approved, is not enough information.  the President of KPCO wants an update.  i cannot go back and say. its being process. I don't know whey  you will receive it, i cannot get an ETA, nobody can confirm that it has been order.  I don't even have a valid order or transaction number to call back and check.",no_resolution
My issue has not been resolved and ticket is being opened and closed. i am not satisfied with the service.,no_resolution
"The agent was friendly and I feel that she offered the best assistance in the moment. However, the issue was addressed but, sadly, not resolved. I still do not have connectivity to Global Protect when off campus. Will call back today to attempt to resolve this again.",no_resolution
"the problem has not been fixed.  While HC on the biomed computer can connect, other clin tech software still won't connect.",no_resolution
The ticket was closed but the problem was not fixed.,no_resolution
string_value,no_resolution
"I got a call from a tech to see if i was still having a problem at which time i said i was. I never got anyone to come and look at it. There was a tech that came for installation of another scanner, but didn't do anything w/ mine.",no_resolution
"This INC was closed with status of no reply!  No one has tried to contact me by email or in Teams and I have provided feedback in ServiceNow every time something changed!  This time because someone closed it without solving the problem, and the last time because someone put it on hold without solving the problem!  This is very very bad service!",no_resolution
Error was resolved on the call.  After using TORT after approving 1 employee.  The error came back.  Error is still not resolved.,no_resolution
"They were not available at 4:15 on a Wednesday afternoon in California, they didn't get back to me until after noon the next day, and they did not address the problem.  They closed the ticket, and I'll need to go through the QA again to restart a new ticket.",no_resolution
"This issue is not resolved, the recommendations have been tried.  This is a test that is covered by insurance and patient is not responsible for paying, therefore this order should go through and is not.  This needs further assistance",no_resolution
"Even if it was just a glitch and I was able to ""fix"" it by removing all entries from the Production Log Search, in order to re-enter them in the Production Log New/Edit again, I do not believe it was resolved. If half way down  your Log entries certain items disappear I believe something is not working right.",no_resolution
"nothing was resolved-the problem is with scanning the medication. The record states no response from inventory team. It is not an inventory issue-its a scanner issue. Because there was no response from the inventory team-the incident was closed and states resolved, when there has been no resolution.",no_resolution
Issue not resolved and case closed.,no_resolution
"This ticket number is NOT RESOLVED??? I already called to clarify this marriage status, I didn't know I was married??? On your comment in my email my marriage date is the same??? Please call me or reach out to me this is not CORRECT!!! 213-448-5275",no_resolution
NOTHING IS RESOLVED. QFLOW IS SLOW AND DOES NOT SHOW WE HAVE PATIENTS.  ALSO WILL NOT CLEAR THE TICKETS. SYSTEM HAS TO BE SHUT DOWN AND RESTARTED AGAIN. PLEASE FIX THIS QFLOW!!!!! IT IS AFFECTING ALL THE LABS AND THE CARE WE ARE TRYING TO GIVE OUR PATIENTS.,no_resolution
Issue not resolved.  I reached out to Kevin M King via Microsoft Teams to inquire about the issue and did not receive a response. I'm not sure what to do other than open another ticket.,no_resolution
This issue is not satisfactorily resolved. It makes no sense!,no_resolution
My issue has not been resolved.,no_resolution
"Issue not resolved; IT representative (Drew)acknowledged he had not seen the message ""cannot start the source application""; BP informed IT would go back to the sender regarding the contents of the documentation",no_resolution
"My ISSUE has NOT RESOLVED!!! If ANYONE can call me that would be great, unfortunately everytime I CALL HR I have been getting the round around and No one is able to help me. Who do I contact for these issue regarding my personal details???",no_resolution
"absolutely no help whatsoever. the time to search on to order something these days, it's horrendous. ended the call with no resolution. i was told to have my manager request access for me to able to shop through ""Guy Brown"" and i asked if there was some kind of pathway to provide to my manager but he couldn't give that to me either and was advised to have the manager call national. everything seems to be time consuming to find anything on servicenow and onelink.",no_resolution
issue not resolved. Intune migration has not been completed as I still do not have the email needed to complete,no_resolution
"The issue was not resolved. The ticket was resolved because I did not call back or email in time. There was no time limit set in the email for me to contact them by. There was no reason to resolve the ticket, because the issue still exists.",no_resolution
Was not involved. Other user had used my contact info to submit request.,no_resolution
This issue was not resolve during my shift of 8 hours and it impacts patient care.,no_resolution
"Rec'd and email saying ""RESOLVED"" and my issue has NOT resolved. This is effecting several providers from doing their job. PLEASE update PROMPT ASAP. Thank you",no_resolution
issue is still not resolved. I am still unable to request leave. The system is not allowing me.,no_resolution
"Issue not resolved, but the ticket was closed.",no_resolution
Not resolved still having the same problem,no_resolution
Nationwide issue. issue not resolved but tech tried to thoroughly to resolve it.,no_resolution
Problem not solved.  Told to work around it.  No help at all,no_resolution
"I received an email saying my issue was resolved - it is NOT resolved, nothing has changed",no_resolution
Problem hasn't been resolved.,no_resolution
"This is still not resolved, but we are working on it",no_resolution
"The person I chatted with was very unhelpful. I requested help with my shared drive. My manager is very busy and unable to look into IT issues. He was unable to help create a ticket, he was unable to give me a link to the correct IT request to submit and he ended the chat without notification. I don't know if we submitted the correct ticket and this has created more work for all. I had to do the research, my manager has to submit a possibly incorrect ticket, and you all will have to figure out what we need for me to get the necessary action to keep our facility safe.",no_resolution
"Issue is not resolved, and tech closed ticket resolved with work around.  I explained to SD that all browsers have the same problem.  2nd tier team did not call.  Email sent back stating that work around is not applicable.",no_resolution
My issue has not been solved yet but I got multiple emails stating that its taken care of with a note DO NOT REPLY.,no_resolution
The computer is still not working however this work order was emailed to me as resolved.,no_resolution
The issue wasn't actually resolved. When I went to look for my Proposal Shared Files - Customer Requests it was missing so I went through the process again for when I originally established it in my File Explorer. Now I have two.,no_resolution
My ticket was closed and my issue has not been resolved I did not receive a call back. Please reopen my ticket or contact me at 360-923-7050.,no_resolution
"The only downside was the wait on the phone. Once I was connected, it was great.",no_resolution
He didn't answer my questions,no_resolution
"My issue was not resolved.  I was essentially told to tell another person to call the IT number.  I still can't close the chart.  I have asked this person to call, but she is skeptical of her ability to fix this.",no_resolution
"I do not know whether or not my issue was resolved. There were insufficient notes in the automated responses. The code said ""incorrect procedure"", which indicates to me that the issue is not fixed, though the status says ""resolved"". Please follow-up: kira.m.degregorio@kp.org",no_resolution
I cannot understand why my issue has not been addressed because supposedly no one else is having it. It has not been fixed; and yet the case is closed. That does not make sense to me. That seems like poor customer service to me. I am VERY unsatisfied.,no_resolution
"No one ever came to install the cartilage, yet they entered the ticket as resolved. Now I need to call back and open another ticket. It's almost been 2 weeks and it's still not fixed!",no_resolution
"icon for Regional Applications Portal was restored, but still does not work- does not open links. Link created from service desk at least can help get me into KPHC.",no_resolution
"The issue wasn't resolved by the service desk or advanced support since advanced support did not contact me until 24 hours after the initial service desk call. During that time, I was able to contact a co-worker who helped me resolve my issue.",no_resolution
"could not fix problem, first time ever",no_resolution
issue not resolved.  technical resource took more time to send a pedantic email then it would take to resolve the request.  less than helpful.,no_resolution
the issue is not resolved. Please contact me to resolve it.,no_resolution
My issue is not resolved. Still my device is not paired.,no_resolution
I felt like he the service person rushed off the phone before trying to make sure the issue was resolved. I am still not able to log-in to the system that I called about.,no_resolution
